provider,token_amount,coin_amount,event,logIndex,transactionIndex,transactionHash,address,blockHash,blockNumber,block_date
0xA2871f3EA109bfbde2e639eb516f3763793833f2,2851137026532310552,3084261322532201859,RemoveLiquidityOne,120,61,0x44026767c206b987c663ccf59e3254d533c95038c16522670825cd082eb2ca5b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xc427d39cec8a494755c1ca3986762b7ca48a26cba6a8ce64597f6971cb63b25d,18394725,2023-10-20 23:10:11
0x36eea2E10D7156eF0d3988160775BEae845cA62b,5776958060918787,6249451483202913,RemoveLiquidityOne,164,104,0x3d4c369d28dfc9e013af9bf2b8a95ff1efdee53162f0df2feeee564b9dfd0946,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb58ff4b5db5f057a32f021f4391e56bcfbf7221bd51bb153e1e7c0cea087bb40,18398409,2023-10-21 11:32:47
0x6CBf9fd514e9A364b33B7EE9615eC8E214867e91,48856861823291251,52854231884383821,RemoveLiquidityOne,92,25,0xa7f3313537f712702b8fb139328eed73d9bc171e1acf020ac5bffb831996bbe8,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x3df0863952c687313bd21fa8ea59ca7519d9c9d430e14ac9ba7028133157711c,18399733,2023-10-21 15:59:59
0xaEE5a126c39A0250B9657C139F28C7C961a9f48F,1869462392639361895,2022417474783206840,RemoveLiquidityOne,173,69,0xe5df65f6fd25bd9835992dd11df2de509b611e8c1e716a3bbf745459f8053022,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb28f09514f7065d3ed7b5128baf26f117d1205978350bb9999835ba3bc419181,18399774,2023-10-21 16:08:11
0xfc765ffe3bE2E7801E987A05c9eB0C91124580dc,6896628043851250595,7461044174527579429,RemoveLiquidityOne,87,55,0x2fc76fe988d15d884d7d3fb81e041a2dca87d38220e211d10e34dd0fbd261136,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa44e4250db6c4ff5d9c0f8b50b583354f9ea79a4e6054cff356daea7d65f40ad,18403272,2023-10-22 03:51:35
0xA2dC88b8E942D325D4926f3195D3cA0040b6E91c,573050035182602941,620221597424640701,RemoveLiquidityOne,69,76,0x9f90647300ceb41f2c807269789862d34e2b5101c8e4ff28653da1134e82ba9b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe4dcd025b44ffa9254ce474742d5ad17c6cd44eae235f9faf986ea0c8fd4ebc0,18403650,2023-10-22 05:07:23
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,1018159257757725952,1101863442710385614,RemoveLiquidityOne,210,91,0x39239756a0995de91b3b70419fc38cf2b9294610cfe6e07d9e890b5b6911717b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x4ea2c4b3166e7b3f70fe522a887a1f854b0285070ddef06a37361f625bfb014a,18405091,2023-10-22 09:58:11
0x505743D95daDAC639967366947ca62f60Fba9Ff6,1996501811505331178,2160084540695455749,RemoveLiquidityOne,159,85,0x18b89994b3a078bacbe0dfc59e6acc41d4d8aeb7ac981d72f02bc5c8aac9a3d3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xdd644ffb3f378a3f1ab6dcd65d342d1cc7b1bf074ed3e58efafdae20052b3470,18407213,2023-10-22 17:06:23
0xcF94B9709DF37793cB1005BC0B1B95465A3f409E,9847695190192248483,10654544534243100025,RemoveLiquidityOne,207,80,0x0253180714f949261ca5e98125f112d96e253e4ea4ae1d731612a22265d91b34,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xa4a12cce07ec58180c3caf3d7a1f78d38011d432897494ea407cf37cc095ba04,18407340,2023-10-22 17:31:59
0xcEA07B84E431Dc87E571490d920b8ebCC782ee3B,1970691771655558113,2132143531440747562,RemoveLiquidityOne,61,32,0x35306ea7c16ba07640f954884c373f336b3bd827631d0079298c6fc19e6cb339,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x85e277f1c84336129df57cf261c5c76d949e85d99f667517f38f46e0e4d46727,18407549,2023-10-22 18:14:35
0xd7289dD5Ea274A57d96123d4f76d63E79E341Ed6,1430893391990597457,1548670125494618847,RemoveLiquidityOne,95,23,0xafd1f3a4348c52c4f18b94629aec013e5f8f079205a96011b177ad7a647ea655,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x5baa8ca65ddad64b5997cf72ce97c05448f2d9324142b601713dbf54e67dd895,18409545,2023-10-23 00:55:59
0x209b4B661ACaCF163204d651E31Ef8223318fa8D,300473967886061201,325118976613943713,RemoveLiquidityOne,100,29,0xce70a51130dad5a5510132e2487c1f4635deefd3e71b3cea1325209fc06173aa,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x217ff68c9f272c01017c061333a3c16c03f3f79782d71ca2fedab5a11c4f39c5,18410655,2023-10-23 04:39:11
0x61Cd586Cf145e94f9d653FCB2c95C1634f08ee37,194052605904439285,210011081641561315,RemoveLiquidityOne,152,49,0x7bd7cd3eafc254c36ed6556721cd35fd08a32fd035e78c44bb22d7092e1cf7c3,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xfc6c98ce1cfdd10c72bcaf4b4f1d57eb77ecd1eea9c97cf52e155f879374b873,18410962,2023-10-23 05:41:47
0x1e51594e7029AAb2235daed1654911c09F35EB2c,1648157048528724421,1783296088422603524,RemoveLiquidityOne,120,58,0xd83195acc61fa835cab8f66a98c099949f5074abbe5630759026c340e2e8f674,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x39ad47c75955bd0aac84e3f6ad5d9b403fc154090154ed429a099b6514be51f6,18411255,2023-10-23 06:40:47
0xE090ec045d1eF0E31Be322C8B79fb65F3b396799,4623204002032656639,5002491328319048027,RemoveLiquidityOne,116,54,0x7a3db36e4ad0b4b665ccbbfb814a5716f92774122ff42879019c43b8cac6605f,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9f514ac95a0f15b60be904dae60a99b03157815099b7ee9a12ff1fb186a9003f,18411860,2023-10-23 08:43:59
0x35C4215C641CE82FE97A052A03E618FEa2a505fb,26000000000000000000,28131122887866930128,RemoveLiquidityOne,106,70,0x70aebef54155dc09c4f2770f9dd8ca1c7c34fda23e8fdb9ab400c833e823c92b,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x33c7eb60c9e20e6724dbd992f6d6667a125e30ee80400b5092318c992b9050f1,18412313,2023-10-23 10:16:23
0x35C4215C641CE82FE97A052A03E618FEa2a505fb,90894280185717547317,98369036070010171401,RemoveLiquidityOne,120,22,0x4795d1fb341727134623214ba7bf40dd79d4c36c2e988973c33f9658c36c52de,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x825b4a24e1ff9e1f786ffd5f431fd7829e065e4758d5b07777d77cbc3aafdd1c,18412405,2023-10-23 10:34:59
0xEa0a896ddE31CFcB53A96ac767119B69D7B4f633,9000000000000000000,9738369678576264210,RemoveLiquidityOne,179,46,0x4099f60c8e369282badb325a8ea823ca6cef7fc12c52ef248742307408a2e338,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x67f28b45a8222b61db3b51aa5eebbfa1589ffa085f7a005f2cc959bae57ba157,18412428,2023-10-23 10:39:35
0x2FF45e654929b8eB049E52B55F1178e76528F45f,173231985694472849,187433868580717783,RemoveLiquidityOne,239,14,0xc4e8e4ff6d038e5c9357ecb3cce38b189e90f33731c83040a0f17abfd241e761,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xbb41be8548fdf7a673c976db82771ee9974cafb7ab5151da51888447c1608023,18412550,2023-10-23 11:04:11
0xFe6fc5F5d89693D02dC938ec5bE5f5b1F8B955e7,103697744156705176,112199075066670820,RemoveLiquidityOne,300,142,0xa0003f1d3cec343b5813d23457f865a3d0a3f8345869a843045d6a041525673e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x184942cf4e43cd167ecbb570b0acbaa7ee876cf72daafe8803f6de21c43fd8db,18412562,2023-10-23 11:06:35
0x835eEC69B9E7127fcEB2eAc154d74828e1a8feDE,1847840927897804297,2000090391944568173,RemoveLiquidityOne,317,43,0x13c3866fbd037f427252f2138121e70715287abed75372d362e11ff85f93bb5d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xefe854b719f9a486c3b7d6756c4f34da3f7aedd247b1d6d79a243dfc6fbe4c9e,18413781,2023-10-23 15:12:23
0xb634316E06cC0B358437CbadD4dC94F1D3a92B3b,978724001513445742,1059337624085330347,RemoveLiquidityOne,128,26,0xa1be57f72e7f6a05c2967c6b2bf490c6c51564320d81268e09d219ae2b1b980c,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xb656ca31e0861b6947c60f4b2bf1a691eebb65a0828ddac94296c3552998e1ae,18414370,2023-10-23 17:10:47
0x2FF45e654929b8eB049E52B55F1178e76528F45f,203382873256856962,220034159346864392,RemoveLiquidityOne,116,69,0xd3eaaf6ab09e132ff7f347e5ac0616aa48ed3019587e08ee1ea0aaf9e5cfce2e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x5c63d420573fb797f78949541eecc8d8ad1cceab28c8c110b5f94f0b5f8c23ec,18414539,2023-10-23 17:44:59
0xE9bC1B677562883c4aA688F83Fa1d7312451A561,93163274511284176706,100847661681249488347,RemoveLiquidityOne,278,87,0x5cd97a5dac8bbd99af8804c7938d2383841282d340afeb12978dd65ab5349a54,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x338f740e7d9915f61b56a0a08166093cc0d17ca825a6feb6e5de248194ddefd6,18414602,2023-10-23 17:57:35
0x244bEe5345033e3c6920287426D1416F7e72dD0b,928973623870893380,1005135080911133663,RemoveLiquidityOne,244,65,0xb99fc42f5bd7f026c2971738c4be4da0d904d54d0d1a7241420049c4323eb078,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf39b257e36f03ca54f8172444e939e4b98aa8ae5bb3e259fc0b1cd2b3535a4e3,18417104,2023-10-24 02:20:11
0xF4753b05f81a52ef21576e1aa9BcB3b6A89D66CA,29985297699176008,32445032804260047,RemoveLiquidityOne,514,109,0x0c1f25a9ced5843d008741cd07822f8f5616b6cd22ce48ae659f20fa76ff97e7,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x9e2090de7002e45df2e618ae78d6ca70c91210d0c1b7c0533fc094f85ac37bca,18417872,2023-10-24 04:55:47
0xd71FE69B6cd5E599992CE51746659aE195cF04F8,23872893593556466739,25832344891306635302,RemoveLiquidityOne,295,86,0xafb3b5b0be9d7e674ec17c23ad0075e5546e85451a0274ab992d881e756014e4,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x3273e228bc37cfdab45efef4087c79f6d98c3fd133e25f5b5138284cd7ddc23f,18418514,2023-10-24 07:04:23
0xcFC636EF9e2a5624a880005560577212Af33DBaC,159347261071010212016,172419774830839302659,RemoveLiquidityOne,130,18,0xb2cc9aed34d8861f2c42402282844426c8b01caa27400be7d694d83fa81ea135,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x391981aeb43212fa2f43a02d2246347cb46ba0916d45807038589e58e6892aca,18419410,2023-10-24 10:05:35
0xb61193014Fc983b3475d6bF365B7647c2E52b713,1879304871627534645,2033436799974045624,RemoveLiquidityOne,151,72,0x32be7ae408075a5f747d191b1d7cf9b95dc0f008b0f51ac42ce6487a5a2f906d,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe5d5ea8a924cf2a44dfb89c4afb82ef7f98e85c529f96df92808a3c273567fad,18419414,2023-10-24 10:06:23
0x32707A8329C1DA69a7AF1cC1824Ab90662c877fA,1404746023511001875,1519889409344412190,RemoveLiquidityOne,138,74,0x5a99e3c271bbaf880d9d80cdc922e19fcb7928bbcaf6cd87daab4c3d94cdda89,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x77336fa6071a69d3e8b5a0d2a32ec340fad471722835b71c9772c629abaa275e,18420726,2023-10-24 14:30:47
0xd14F900d169E0542759Cd896b1d70C7b22cbE6F2,31136775914465697999,33709552561185453252,RemoveLiquidityOne,153,82,0x263884620fe75073d80310fdbadc94a7a2dbbbea47715e64f7bfec4461853059,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xe5d306389149684600dcf37f49b1510b7e39db3b6a89309f042e1c4017c6836b,18422243,2023-10-24 19:36:59
0xf94aFAbd66EE9a10337dD114bfe221c1605b2B02,12417138346437074913,13442676692637186382,RemoveLiquidityOne,148,54,0xdf691d38023c638fdb74a28a8c4f25fb0c72812fa6ebd757181356f864413662,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x8fb5830497f25cb849126d962f22d7587726f7d66bbac263f423ce8c80e4e783,18422304,2023-10-24 19:49:23
0x4c3C99B358b338F1e3A281d1aecAfaA8305E4759,1377078444695284196,1490062835580550118,RemoveLiquidityOne,284,84,0xbc20f9f30a348e61eb0eee74dc70064165a31b8dcf7228f0223108475dfe6266,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x4d77e4d414ade2c25591dfeac61a1cabe26cf31f90f8b2880c1d975c92fa7f7a,18423047,2023-10-24 22:18:59
0xd63f989D1FBcB538DA5c665231dFD8aAe60deb9D,923950115481393280,999756600880736304,RemoveLiquidityOne,195,67,0x789cb99f29da9dc756dca20e23586eebb7495ca49989ab03517d98d3f5ca4284,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xddb8d5b5d28ccb0c8577050f38aa52baaa77d3f3c7d4a6e51ed6e2b6212c82f0,18423069,2023-10-24 22:23:23
0x6b7fB17fcCffD7ee61Bb0e04411e27536b5DC9cA,3427075864685033668,3709834569816022642,RemoveLiquidityOne,259,83,0xd0b7d1bc8e82c8fdddc3f937e15bf51563bd5d55d9733102a29b11ceb8e58b94,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x80a1282331fa7e0883a7fe7c38cc79d9fbf449644d101c97c168320a5439f51f,18423825,2023-10-25 00:55:11
0x6D96D7C5083b7e62274AF095df87Cc29115A4249,5718591807418024567,6187780167443445075,RemoveLiquidityOne,108,46,0x21f6f47142809132f6f41b393959777b7b1d5b6646650a86c33f08559e8b495e,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xdf3d9a099adbda08cc88190a1d5d98817b6796be03cee6ef03610afaf9abc7db,18426145,2023-10-25 08:44:35
0x5c17f52A9b58aE7579e8C6031543e4AA6556D883,238072334672450173,257603294874831639,RemoveLiquidityOne,101,33,0x509634cd20e86e5aa55b408280d08686e3cfb5e1eda065845d50cc3d0ca75b61,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0xf46f6fb072c7cc3b1e5dc20a808bf04d5b7dfd165ac2698fc407173eeb32098e,18426866,2023-10-25 11:11:23
0x8d309dE16A745C15FfA00A46dA4EB3E044c54d63,153254069185486944820,165824091365108156256,RemoveLiquidityOne,234,82,0x68b459f9e106c247124dfbdf7c3a30052bfe5502fd22740cf1bfa2d9cadd1048,0xDC24316b9AE028F1497c275EB9192a3Ea0f67022,0x393128231da4fe1caf1b37611448cfe10f0adf936b90da6f78c9e5091e29c7cc,18429288,2023-10-25 19:19:35
